name,age,gender,salary,department,start_date,email,phone_number,address,project_assigned
Unknown,38,Male,75000,Operations,Unknown,adam.smith@domain.com,67890,1011 Pine St,Project A
Name_66,55,Not Mentioned,30315,Not Decided,10/15/2028,example66@domain.com,Unknown,461 Main St,Project C
Name_28,40,Not Mentioned,39301,Marketing,4/26/2028,example28@domain.com,Unknown,38 Oak St,Project A
Name_157,Unknown,Not Mentioned,Not Mentioned,HR,11/27/2029,example157@domain.com,Unknown,180 Elm St,Project B
Name_92,20,Not Mentioned,Not Mentioned,Sales,12/14/2020,example92@domain.com,Unknown,893 Oak St,Project C
Name_128,37,Not Mentioned,Not Mentioned,Marketing,5/9/2027,example128@domain.com,Unknown,632 Main St,Project C
Name_127,Unknown,Not Mentioned,65822,Marketing,6/17/2026,example127@domain.com,Unknown,157 Maple Ave,Project A
Name_77,Unknown,Male,92678,Not Decided,7/27/2020,example77@domain.com,Unknown,Unknown,Project B
Name_101,27,Not Mentioned,68915,Marketing,10/19/2026,example101@domain.com,Unknown,594 Oak St,Project B
Name_87,Unknown,Female,59799,Sales,2/20/2024,example87@domain.com,Unknown,Unknown,Project B
Name_123,Unknown,Female,90284,Sales,4/10/2023,example123@domain.com,Unknown,Unknown,Project C
Name_58,Unknown,Female,Not Mentioned,Operations,9/24/2023,example58@domain.com,Unknown,Unknown,Project C
Name_88,54,Male,95425,Marketing,2/6/2021,example88@domain.com,Unknown,Unknown,Project B
Name_61,26,Not Mentioned,76629,HR,2/23/2023,example61@domain.com,Unknown,Unknown,Project A
Name_82,56,Not Mentioned,47959,HR,6/26/2028,example82@domain.com,Unknown,Unknown,Project B
Name_119,56,Male,Not Mentioned,Not Decided,5/15/2023,example119@domain.com,Unknown,Unknown,Project A
Unknown,30,Male,Not Mentioned,HR,8/21/2024,Unknown,Unknown,Unknown,Project B
Name_116,Unknown,Female,62729,Operations,1/28/2020,example116@domain.com,Unknown,Unknown,Project B
Name_98,40,Not Mentioned,75729,Operations,9/14/2021,example98@domain.com,Unknown,Unknown,Project B
Name_118,Unknown,Male,94930,Not Decided,6/4/2020,example118@domain.com,81389,510 Maple Ave,Project B
Name_73,Unknown,Male,87097,Operations,5/20/2020,example73@domain.com,16170,640 Elm St,Project A
Unknown,Unknown,Female,Not Mentioned,Sales,9/17/2029,Unknown,Unknown,808 Maple Ave,Project B
Unknown,45,Not Mentioned,52045,Sales,12/18/2023,Unknown,Unknown,734 Main St,Project A
Unknown,35,Not Mentioned,67655,Marketing,10/4/2024,Unknown,Unknown,732 Elm St,Project A
Name_69,Unknown,Not Mentioned,Not Mentioned,Marketing,1/15/2023,example69@domain.com,Unknown,387 Pine St,Project A
Name_53,Unknown,Not Mentioned,Not Mentioned,Sales,12/6/2023,example53@domain.com,Unknown,770 Maple Ave,Project B
Name_153,46,Not Mentioned,Not Mentioned,Marketing,10/25/2020,example153@domain.com,Unknown,953 Main St,Project A
Unknown,42,Not Mentioned,Not Mentioned,Not Decided,8/6/2023,Unknown,Unknown,541 Maple Ave,Project A
Unknown,Unknown,Not Mentioned,Not Mentioned,HR,5/11/2021,Unknown,Unknown,Unknown,Project A
Name_96,Unknown,Not Mentioned,Not Mentioned,Sales,3/21/2020,example96@domain.com,Unknown,Unknown,Project C
Name_11,Unknown,Male,Not Mentioned,Sales,8/12/2021,example11@domain.com,Unknown,Unknown,Project B
Name_44,24,Not Mentioned,Not Mentioned,HR,8/7/2027,example44@domain.com,Unknown,Unknown,Project A
Unknown,Unknown,Not Mentioned,Not Mentioned,Operations,5/5/2028,Unknown,54805,629 Maple Ave,Project A
Name_41,Unknown,Female,Not Mentioned,Sales,3/17/2026,example41@domain.com,84533,579 Oak St,Project C
Unknown,53,Female,Not Mentioned,Marketing,8/4/2029,Unknown,18877,Unknown,Project C
Unknown,Unknown,Male,Not Mentioned,Sales,2/3/2027,Unknown,28367,Unknown,Project C
Name_86,Unknown,Not Mentioned,Not Mentioned,HR,5/11/2022,example86@domain.com,98922,Unknown,Project A
Name_159,39,Not Mentioned,Not Mentioned,Marketing,6/21/2026,example159@domain.com,37128,Unknown,Project B
Unknown,Unknown,Female,39624,HR,9/20/2021,Unknown,37675,Unknown,Project A
Name_48,34,Not Mentioned,Not Mentioned,Marketing,12/4/2022,example48@domain.com,15993,Unknown,Project B
Name_29,31,Female,Not Mentioned,Marketing,11/23/2029,example29@domain.com,Unknown,602 Maple Ave,Project C
Name_16,40,Female,65849,Operations,7/22/2026,example16@domain.com,Unknown,68 Pine St,Project A
Name_12,22,Male,85182,Sales,11/21/2027,example12@domain.com,32583,588 Maple Ave,Project C
Name_81,Unknown,Female,Not Mentioned,Sales,6/1/2021,example81@domain.com,14841,Unknown,Project B
Name_129,Unknown,Male,97519,Not Decided,5/12/2023,example129@domain.com,24673,Unknown,Project A
Name_54,Unknown,Female,Not Mentioned,Not Decided,2/6/2028,example54@domain.com,30875,905 Maple Ave,Project C
Name_68,Unknown,Male,Not Mentioned,Not Decided,5/6/2028,example68@domain.com,24904,258 Elm St,Project B
Name_72,29,Male,Not Mentioned,Marketing,7/5/2024,example72@domain.com,83729,482 Elm St,Project B
Name_94,60,Male,Not Mentioned,Marketing,6/20/2020,example94@domain.com,Unknown,518 Main St,Project C
Name_107,23,Male,44551,Operations,3/12/2024,example107@domain.com,Unknown,71 Elm St,Project A
Name_126,32,Female,30282,HR,3/19/2024,example126@domain.com,Unknown,430 Main St,Project C
Name_117,Unknown,Not Mentioned,95319,Sales,10/12/2028,example117@domain.com,Unknown,520 Pine St,Project A
Name_146,Unknown,Male,Not Mentioned,HR,11/8/2021,example146@domain.com,Unknown,460 Oak St,Project B
Name_93,33,Female,Not Mentioned,HR,10/6/2025,example93@domain.com,28721,Unknown,Project B
Name_124,57,Male,70583,Sales,6/7/2029,example124@domain.com,10399,Unknown,Project C
Name_78,Unknown,Male,Not Mentioned,Not Decided,6/23/2023,example78@domain.com,44630,Unknown,Project A
Name_121,Unknown,Male,Not Mentioned,Not Decided,8/4/2021,example121@domain.com,99210,Unknown,Project C
Name_113,32,Female,Not Mentioned,HR,9/1/2024,example113@domain.com,56044,190 Elm St,Project A
Name_83,Unknown,Male,Not Mentioned,Not Decided,6/7/2023,example83@domain.com,93693,848 Pine St,Project C
Name_158,Unknown,Male,81732,Not Decided,8/28/2024,example158@domain.com,44083,378 Elm St,Project B
Name_97,Unknown,Female,Not Mentioned,Marketing,6/4/2024,example97@domain.com,18331,908 Pine St,Project B
Name_111,Unknown,Female,Not Mentioned,Operations,6/4/2021,example111@domain.com,17023,325 Elm St,Project C
Name_74,32,Male,58099,HR,5/7/2022,example74@domain.com,92628,736 Oak St,Project B
Name_36,58,Female,Not Mentioned,Not Decided,12/15/2029,example36@domain.com,68121,Unknown,Project C
Name_52,Unknown,Male,Not Mentioned,Not Decided,1/13/2020,example52@domain.com,92185,Unknown,Project B
Name_14,27,Not Mentioned,51410,Sales,1/15/2028,example14@domain.com,13351,Unknown,Project B
Name_39,26,Not Mentioned,54226,Sales,8/18/2024,example39@domain.com,21814,Unknown,Project C
Name_136,60,Male,91546,Sales,6/3/2027,example136@domain.com,98690,Unknown,Project B
Name_76,35,Not Mentioned,98848,Sales,9/10/2020,example76@domain.com,54988,495 Pine St,Project C
Name_142,51,Male,80862,HR,9/1/2026,example142@domain.com,22925,Unknown,Project A
Name_13,Unknown,Not Mentioned,84434,Operations,11/4/2029,example13@domain.com,17827,197 Elm St,Project A
Name_122,51,Male,Not Mentioned,Not Decided,11/11/2026,example122@domain.com,62458,Unknown,Project C
Name_137,Unknown,Not Mentioned,74090,HR,7/5/2023,example137@domain.com,66520,Unknown,Project A
Name_89,Unknown,Female,40510,HR,5/17/2020,example89@domain.com,43774,Unknown,Project A
Name_112,Unknown,Male,Not Mentioned,Not Decided,7/1/2025,example112@domain.com,40658,715 Pine St,Project C
Name_47,52,Female,47922,Not Decided,11/8/2025,example47@domain.com,Unknown,Unknown,Project C
Name_21,41,Not Mentioned,Not Mentioned,Not Decided,10/28/2024,example21@domain.com,Unknown,Unknown,Project C
Name_57,53,Female,Not Mentioned,Not Decided,7/19/2027,example57@domain.com,Unknown,860 Main St,Project B
Name_33,Unknown,Not Mentioned,Not Mentioned,Not Decided,9/17/2022,example33@domain.com,Unknown,358 Maple Ave,Project B
