Name,Age,Gender,Salary,Department,Start Date,Email,Phone Number,Address,Project Assigned
John,28,Male,50000,Sales,2/10/2020,john.doe@example.com,12345,123 Main St,
Eva,33,Female,65000,Operations,12/9/2019,eva.smith@example,33445,,
Sarah,25,Female,40000,,3/4/2021,sarah.johnson@example.com,,321 Pine St,New Project
Michael,40,Male,70000,Sales,,michael.doe@example.com,55678,123 Maple Ave,
,32,,80000,Marketing,6/12/2021,emily.jones@domain,99999,,
Lily,,Female,,,11/2/2022,,12345,,
Adam,38,Male,75000,Operations,,adam.smith@domain.com,67890,1011 Pine St,Project Alpha
Name_10,,,,HR,5/11/2021,invalid_email.com,,,Project A
Name_11,,Male,,Sales,8/12/2021,example11@domain.com,,,Project B
,22,Male,85182,Sales,11/21/2027,example12@domain.com,32583,588 Maple Ave,Project C
Name_13,,,84434,Operations,11/4/2029,example13@domain.com,17827,197 Elm St,Project A
Name_14,27,,51410,Sales,1/15/2028,example14@domain.com,13351,,Project B
,,Female,,Sales,9/17/2029,invalid_email.com,,808 Maple Ave,Project B
Name_16,40,Female,65849,Operations,7/22/2026,example16@domain.com,,68 Pine St,Project A
Name_17,,,,HR,5/18/2025,example17@domain.com,,,
,25,Male,63995,HR,10/28/2020,example18@domain.com,,,
Name_19,20,Female,89322,HR,3/7/2020,example19@domain.com,,,
Name_20,20,Female,35754,Operations,3/16/2023,invalid_email.com,,,
,41,,,,10/28/2024,example21@domain.com,,,Project C
Name_22,38,Male,,Sales,12/17/2029,example22@domain.com,,,
Name_23,,,,Marketing,11/2/2021,example23@domain.com,,,
,35,Female,49787,Operations,4/10/2023,example24@domain.com,,25 Oak St,
Name_25,,Female,,Operations,11/17/2028,invalid_email.com,,,
Name_26,,,46640,HR,9/15/2029,example26@domain.com,,898 Elm St,
,,,,Sales,10/21/2029,example27@domain.com,37309,,
Name_28,40,,39301,Marketing,4/26/2028,example28@domain.com,,38 Oak St,Project A
Name_29,31,Female,,Marketing,11/23/2029,example29@domain.com,,602 Maple Ave,Project C
,,Male,92942,Sales,5/12/2028,invalid_email.com,,509 Elm St,
Name_31,,Male,,,3/22/2028,example31@domain.com,,,
Name_32,,Male,74621,Marketing,3/16/2021,example32@domain.com,54459,425 Elm St,
,,,,,9/17/2022,example33@domain.com,,358 Maple Ave,Project B
Name_34,,Male,,Marketing,5/15/2027,example34@domain.com,,804 Oak St,
Name_35,22,Female,93067,,6/19/2024,invalid_email.com,,,
,58,Female,,,12/15/2029,example36@domain.com,68121,,Project C
Name_37,,Male,,Marketing,10/28/2021,example37@domain.com,,,
Name_38,55,Male,,,8/7/2026,example38@domain.com,67355,507 Oak St,
,26,,54226,Sales,8/18/2024,example39@domain.com,21814,,Project C
Name_40,45,Female,75931,Marketing,12/1/2021,invalid_email.com,,,
Name_41,,Female,,Sales,3/17/2026,example41@domain.com,84533,579 Oak St,Project C
,28,,89171,,7/17/2028,example42@domain.com,,967 Main St,Project B
Name_43,,Female,99377,Marketing,11/12/2025,example43@domain.com,13261,183 Pine St,
Name_44,24,,,HR,8/7/2027,example44@domain.com,,,Project A
,,,,Sales,6/16/2027,invalid_email.com,,486 Maple Ave,
Name_46,35,,,Operations,1/28/2026,example46@domain.com,63486,,
Name_47,52,Female,47922,,11/8/2025,example47@domain.com,,,Project C
,34,,,Marketing,12/4/2022,example48@domain.com,15993,,Project B
Name_49,36,,65865,Sales,3/20/2021,example49@domain.com,,,
Name_50,30,Female,65292,Sales,11/26/2026,invalid_email.com,39619,519 Elm St,
,,Female,64752,Sales,5/15/2023,example51@domain.com,,993 Elm St,
Name_52,,Male,,,1/13/2020,example52@domain.com,92185,,Project B
Name_53,,,,Sales,12/6/2023,example53@domain.com,,770 Maple Ave,Project B
,,Female,,,2/6/2028,example54@domain.com,30875,905 Maple Ave,Project C
Name_55,,Male,39742,Operations,3/26/2026,invalid_email.com,52057,735 Oak St,
Name_56,54,Female,96209,,3/25/2029,example56@domain.com,73153,401 Main St,
,53,Female,,,7/19/2027,example57@domain.com,,860 Main St,Project B
Name_58,,Female,,Operations,9/24/2023,example58@domain.com,,,Project C
Name_59,57,Male,,Sales,3/28/2027,example59@domain.com,,,
,57,Female,,Operations,12/6/2021,invalid_email.com,,,
Name_61,26,,76629,HR,2/23/2023,example61@domain.com,,,Project A
Name_62,35,Male,,Operations,4/13/2027,example62@domain.com,,116 Maple Ave,
,50,Male,,Marketing,8/4/2023,example63@domain.com,,901 Elm St,
Name_64,20,Male,92711,Sales,11/16/2026,example64@domain.com,39062,612 Oak St,
Name_65,,Male,,Sales,2/3/2027,invalid_email.com,28367,,Project C
,55,,30315,,10/15/2028,example66@domain.com,,461 Main St,Project C
Name_67,,Female,64998,Operations,7/12/2021,example67@domain.com,67387,,
Name_68,,Male,,,5/6/2028,example68@domain.com,24904,258 Elm St,Project B
,,,,Marketing,1/15/2023,example69@domain.com,,387 Pine St,Project A
Name_70,44,Male,44421,Marketing,3/25/2028,invalid_email.com,,,
Name_71,,,88978,,8/10/2025,example71@domain.com,39686,,
,29,Male,,Marketing,7/5/2024,example72@domain.com,83729,482 Elm St,Project B
Name_73,,Male,87097,Operations,5/20/2020,example73@domain.com,16170,640 Elm St,Project A
Name_74,32,Male,58099,HR,5/7/2022,example74@domain.com,92628,736 Oak St,Project B
,45,,52045,Sales,12/18/2023,invalid_email.com,,734 Main St,Project A
Name_76,35,,98848,Sales,9/10/2020,example76@domain.com,54988,495 Pine St,Project C
Name_77,,Male,92678,,7/27/2020,example77@domain.com,,,Project B
,,Male,,,6/23/2023,example78@domain.com,44630,,Project A
Name_79,,,,Sales,3/13/2027,example79@domain.com,,,
Name_80,,,,Marketing,5/10/2027,invalid_email.com,24140,,
,,Female,,Sales,6/1/2021,example81@domain.com,14841,,Project B
Name_82,56,,47959,HR,6/26/2028,example82@domain.com,,,Project B
Name_83,,Male,,,6/7/2023,example83@domain.com,93693,848 Pine St,Project C
Eva,33,Female,65000,Operations,12/9/2019,eva.smith@example,33445,,
Sarah,25,Female,40000,,3/4/2021,sarah.johnson@example.com,,321 Pine St,New Project
,,Female,59552,HR,3/22/2026,example84@domain.com,76902,742 Pine St,
Name_85,,,,Sales,8/28/2023,invalid_email.com,,428 Maple Ave,
Name_86,,,,HR,5/11/2022,example86@domain.com,98922,,Project A
,,Female,59799,Sales,2/20/2024,example87@domain.com,,,Project B
Name_88,54,Male,95425,Marketing,2/6/2021,example88@domain.com,,,Project B
Name_89,,Female,40510,HR,5/17/2020,example89@domain.com,43774,,Project A
,30,Male,,HR,8/21/2024,invalid_email.com,,,Project B
Name_91,,Female,44209,HR,4/2/2028,example91@domain.com,,,
Name_92,20,,,Sales,12/14/2020,example92@domain.com,,893 Oak St,Project C
,33,Female,,HR,10/6/2025,example93@domain.com,28721,,Project B
Name_94,60,Male,,Marketing,6/20/2020,example94@domain.com,,518 Main St,Project C
Name_95,,,,Sales,1/24/2027,invalid_email.com,89223,840 Elm St,
,,,,Sales,3/21/2020,example96@domain.com,,,Project C
Name_97,,Female,,Marketing,6/4/2024,example97@domain.com,18331,908 Pine St,Project B
Name_98,40,,75729,Operations,9/14/2021,example98@domain.com,,,Project B
,20,,,Marketing,10/28/2021,example99@domain.com,20163,536 Main St,
Name_100,,,,Operations,5/5/2028,invalid_email.com,54805,629 Maple Ave,Project A
Name_101,27,,68915,Marketing,10/19/2026,example101@domain.com,,594 Oak St,Project B
,,Female,,Marketing,2/25/2027,example102@domain.com,,824 Oak St,
Name_103,,,48307,Sales,2/24/2027,example103@domain.com,,736 Elm St,
Name_104,33,,,HR,2/8/2023,example104@domain.com,,656 Maple Ave,
,,Female,39624,HR,9/20/2021,invalid_email.com,37675,,Project A
Name_106,,Female,63844,,9/20/2026,example106@domain.com,95281,,
Name_107,23,Male,44551,Operations,3/12/2024,example107@domain.com,,71 Elm St,Project A
,,Male,55477,HR,9/18/2022,example108@domain.com,,,
Name_109,,Male,,HR,9/12/2024,example109@domain.com,36577,,
Name_110,22,Female,,Marketing,12/21/2024,invalid_email.com,76085,,
,,Female,,Operations,6/4/2021,example111@domain.com,17023,325 Elm St,Project C
Name_112,,Male,,,7/1/2025,example112@domain.com,40658,715 Pine St,Project C
Name_113,32,Female,,HR,9/1/2024,example113@domain.com,56044,190 Elm St,Project A
,44,,96232,,5/27/2023,example114@domain.com,85076,598 Elm St,
Name_115,,Female,,HR,7/6/2028,invalid_email.com,,,
Name_116,,Female,62729,Operations,1/28/2020,example116@domain.com,,,Project B
,,,95319,Sales,10/12/2028,example117@domain.com,,520 Pine St,Project A
Name_118,,Male,94930,,6/4/2020,example118@domain.com,81389,510 Maple Ave,Project B
Name_119,56,Male,,,5/15/2023,example119@domain.com,,,Project A
,36,Male,,HR,5/15/2024,invalid_email.com,64402,802 Pine St,
Name_121,,Male,,,8/4/2021,example121@domain.com,99210,,Project C
Name_122,51,Male,,,11/11/2026,example122@domain.com,62458,,Project C
,,Female,90284,Sales,4/10/2023,example123@domain.com,,,Project C
Name_124,57,Male,70583,Sales,6/7/2029,example124@domain.com,10399,,Project C
Name_125,42,,,,8/6/2023,invalid_email.com,,541 Maple Ave,Project A
,32,Female,30282,HR,3/19/2024,example126@domain.com,,430 Main St,Project C
Name_127,,,65822,Marketing,6/17/2026,example127@domain.com,,157 Maple Ave,Project A
Name_128,37,,,Marketing,5/9/2027,example128@domain.com,,632 Main St,Project C
,,Male,97519,,5/12/2023,example129@domain.com,24673,,Project A
Name_130,,Male,,HR,1/13/2021,invalid_email.com,81071,,
